tree_id,latitude,longitude
191988,40.72663958,-73.99936836
191989,40.72666328,-73.99941653
145055,40.71751014,-73.99597274
192057,40.72813901,-74.00239005
191891,40.72457568,-73.99390133
209608,40.72551012,-74.00027277
209603,40.72607101,-74.00141398
144165,40.72343984,-73.994671
177829,40.72203666,-74.00053654
177827,40.72199801,-74.00045769
177828,40.72201912,-74.00050075
209604,40.72604885,-74.0013688
177826,40.72196977,-74.00040007
191978,40.72627399,-73.99860887
191979,40.72630944,-73.998681
191981,40.72641222,-73.99889009
192005,40.72715289,-74.00039569
191934,40.72594887,-73.99794696
209607,40.7255632,-74.00038146
192021,40.72773925,-74.00158
228303,40.7277964,-74.00203428
228306,40.72766733,-74.00176848
228320,40.72704724,-74.00050336
144164,40.72351011,-73.99464006
228322,40.72697539,-74.00035691
191982,40.72644365,-73.99895403
191933,40.72592597,-73.99790026
230785,40.72197306,-74.00522119
191935,40.72600985,-73.99807128
192014,40.72734429,-74.00078093
192017,40.72746993,-74.00103589
192015,40.727381,-74.00085542
228305,40.72769952,-74.00183478
228321,40.7270096,-74.00042665
230784,40.72197182,-74.00522041
191980,40.72638228,-73.99882918
228340,40.72576505,-73.99983336
228323,40.72693775,-74.0002802
228325,40.72687721,-74.0001568
228324,40.726908,-74.00021956
235400,40.72586764,-73.99812341
231046,40.71862251,-74.00511182
228333,40.72618374,-73.99875385
228332,40.72622171,-73.99883028
234299,40.71649064,-74.00976264
192016,40.72741069,-74.00091568
192018,40.72750097,-74.00109888
228334,40.72614652,-73.99867894
192024,40.72785802,-74.00182105
192026,40.72793621,-74.00197973
231033,40.72039668,-74.00585206
228335,40.7261084,-73.99860221
228286,40.72733931,-74.0027795
228288,40.72747726,-74.00266665
209606,40.72559211,-74.00044067
192023,40.72780669,-74.00171688
234301,40.71639977,-74.00956253
234302,40.71637192,-74.0095012
234304,40.71631538,-74.00937668
228330,40.72629645,-73.99898071
234300,40.71643198,-74.00963347
234279,40.71821847,-74.00864525
233862,40.71800897,-74.00921321
230884,40.72138902,-74.00538363
233863,40.71802402,-74.0093463
230867,40.72091371,-74.00510655
228337,40.72593907,-73.99968678
228339,40.72580503,-73.99979968
227762,40.72755721,-74.00269084
230863,40.72131419,-74.0051711
230864,40.72111385,-74.00510428
230866,40.72102541,-74.00512456
228336,40.72617779,-73.99948569
228338,40.72587829,-73.99973797
230865,40.72110795,-74.00513786
228329,40.726485,-73.99936171
228282,40.72705221,-74.00301436
228284,40.72722256,-74.00287501
228318,40.72726281,-74.00092711
228331,40.72625893,-73.99890519
234297,40.71656505,-74.00992651
192025,40.727891,-74.00188798
228319,40.72722548,-74.000851
228326,40.72662595,-73.99964749
230883,40.72134585,-74.00541527
230885,40.72141713,-74.00541968
191937,40.72607574,-73.99820561
235402,40.72595709,-73.99830945
234298,40.71652707,-74.00984287
192020,40.72756529,-74.00122939
230886,40.72148814,-74.00542408
191936,40.72604183,-73.99813648
191938,40.72610935,-73.99827414
235396,40.72571748,-73.99781111
230881,40.72111115,-74.00540074
227754,40.72793861,-74.00289578
230783,40.72192578,-74.00518594
230811,40.72107517,-74.00498515
228283,40.72712585,-74.00295412
238530,40.72037783,-73.99638774
228327,40.72657653,-73.99954728
228317,40.72731828,-74.00104023
227766,40.72732363,-74.00316688
227767,40.72721251,-74.00321235
228316,40.72736333,-74.00113211
227757,40.72767744,-74.00287906
228285,40.72728035,-74.00282773
227763,40.72756592,-74.00278104
173095,40.72230062,-74.00624663
227768,40.72698054,-74.00314033
